Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/Networking-SP/SelfPaced,3c01eb2e35d96e3d890ff30937269f4cc9cb4ef1,23,2
OpenEdX,Engineering/Networking-SP/SelfPaced,db4a732ab5861f1e174366fd35247bae34880180,1,155
OpenEdX,Engineering/Networking-SP/SelfPaced,6dc4035045cb98d643c490642610022e5298533a,1,268
OpenEdX,Engineering/Networking-SP/SelfPaced,6dc4035045cb98d643c490642610022e5298533a,5,8771
OpenEdX,Engineering/Networking-SP/SelfPaced,a7848c15ae33629417257023a573f90f3cd1e60c,17,6003
OpenEdX,Engineering/Networking-SP/SelfPaced,2debb822cffe27703eb60507905a09e12cf410de,6,144
OpenEdX,Engineering/Networking-SP/SelfPaced,2debb822cffe27703eb60507905a09e12cf410de,8,7791
OpenEdX,Engineering/Networking-SP/SelfPaced,2debb822cffe27703eb60507905a09e12cf410de,9,3
OpenEdX,Engineering/Networking-SP/SelfPaced,e7ed7d5820cc00dbea5a19bcfc1f4e05a0565357,6,513
OpenEdX,Engineering/Networking-SP/SelfPaced,e7ed7d5820cc00dbea5a19bcfc1f4e05a0565357,11,827
OpenEdX,Engineering/Networking-SP/SelfPaced,ba75e64d33bc502532192da1498b7ef760cab990,1,1887
OpenEdX,Engineering/Networking-SP/SelfPaced,bf2f254b957e8c3bc2479c6934ac10477a36d443,11,691
OpenEdX,Engineering/Networking-SP/SelfPaced,b333a192fe855aca196cdae9a826c5fcdc1f5261,1,1
OpenEdX,Engineering/Networking-SP/SelfPaced,4992d27ce16d6e008db589407742e9b652743064,11,215
OpenEdX,Engineering/Networking-SP/SelfPaced,08287d80bea8a2b79de22f484ed45a9534d2013f,12,3350
OpenEdX,Engineering/Networking-SP/SelfPaced,08287d80bea8a2b79de22f484ed45a9534d2013f,13,1074
OpenEdX,Engineering/Networking-SP/SelfPaced,08287d80bea8a2b79de22f484ed45a9534d2013f,14,735
